Track,Artist,Plays,Minutes Listened,isHozier
Mantra,JENNIE,228,239.98,No
undressed,sombr,120,244.94,No
Espresso,Sabrina Carpenter,91,146.3,No
JUMP,BLACKPINK,92,162.52,No
Juno,Sabrina Carpenter,133,267.46,No
Igloo,KISS OF LIFE,162,175.13,No
Alter Ego (with JT),Doechii,148,291.46,No
The Hills,Rachel Chinouriri,120,238.6,No
like JENNIE,JENNIE,128,170.0,No
Bite Me,ENHYPEN,86,0,No
Debut,KATSEYE,89,0,No
Gabriela,KATSEYE,83,162.71,No
From Eden,Hozier,130,401.63,Yes
Busy Woman,Sabrina Carpenter,147,325.66,No
Like Real People Do,Hozier,213,448.46,Yes
Bed Chem,Sabrina Carpenter,84,146.49,No
we never dated,sombr,0,160.61,No
Revolving door,Tate McRae,151,246.68,No
Manchild,Sabrina Carpenter,102,250.59,No
Taste,Sabrina Carpenter,156,217.96,No
Love Hangover (feat. Dominic Fike),JENNIE,178,281.42,No
All I Ever Asked,Rachel Chinouriri,135,283.94,No
Work Song,Hozier,108,221.0,Yes
Almost (Sweet Music),Hozier,81,158.03,Yes
HOT TO GO!,Chappell Roan,84,0,No
Unknown / Nth,Hozier,0,165.1,Yes
1-800-hot-n-fun,LE SSERAFIM,122,185.77,No
Dinner & Diatribes,Hozier,81,197.71,Yes
Close To You,Gracie Abrams,85,135.84,No
Jackie And Wilson,Hozier,263,596.55,Yes
Too Sweet,Hozier,197,365.53,Yes
It Will Come Back,Hozier,201,523.8,Yes
Never Need Me,Rachel Chinouriri,117,261.44,No
Coincidence,Sabrina Carpenter,110,151.66,No
DRIP,BABYMONSTER,89,143.36,No
CRAZY,LE SSERAFIM,267,465.24,No
UP - KARINA Solo,aespa,102,161.87,No
Risk,Gracie Abrams,148,262.11,No
Sports car,Tate McRae,230,351.75,No
12 to 12,sombr,0,140.49,No
Francesca,Hozier,212,486.43,Yes
Smart,LE SSERAFIM,135,171.41,No
ExtraL (feat. Doechii),JENNIE,170,286.76,No
CLIK CLAK,BABYMONSTER,135,227.87,No
Come Over,LE SSERAFIM,134,203.06,No
Slim Pickins,Sabrina Carpenter,187,275.23,No
Gnarly,KATSEYE,130,169.04,No
It's ok I'm ok,Tate McRae,175,242.38,No
NISSAN ALTIMA,Doechii,104,0,No
To Be Alone,Hozier,0,203.47,Yes
Good Graces,Sabrina Carpenter,98,173.09,No
Would That I,Hozier,0,177.24,Yes
back to friends,sombr,124,277.48,No
Rockstar,LISA,81,0,No
HOT,LE SSERAFIM,137,208.1,No
